"","akorda.kz","khabar.kz","nur.kz","sputnik.kz","tengrinews.kz","zakon.kz","mean1","mean2","diff","lb","ub","pvalue",""
"38","0","0.036","0.022","0.019","0.036","0.058","0.0193333333333333","0.0376666666666667","-0.0183333333333333","-0.0611898954810462","0.0245232288143795","0.300073171512795","detention"
"39","0.0086","0.041","0.03","0.035","0.043","0.14","0.0265333333333333","0.0726666666666667","-0.0461333333333333","-0.178890361909444","0.0866236952427775","0.303350157956014","property"
"40","0.0022","0.041","0.0043","0.042","0.032","0.21","0.0158333333333333","0.0946666666666667","-0.0788333333333333","-0.313095737906439","0.155429071239772","0.303991111532112","deputy"
"41","0.0065","0.066","0.022","0.016","0.0061","0","0.0315","0.00736666666666667","0.0241333333333333","-0.0466789878741707","0.0949456545408374","0.306873401718701","army"
"42","0.043","0.13","0.14","0.26","0.19","0.08","0.104333333333333","0.176666666666667","-0.0723333333333333","-0.258020302108602","0.113353635441935","0.313906527445373","gas"
"43","0.013","0.0067","0.0047","0.0093","0.016","0.058","0.00813333333333333","0.0277666666666667","-0.0196333333333333","-0.0829339184830656","0.043667251816399","0.325883625010306","entrepeneurship"
"44","0.44","0.57","0.25","0.14","0.19","0.47","0.42","0.266666666666667","0.153333333333333","-0.232670015308332","0.539336681974998","0.330865505641252","citizen"
"45","0.013","0.1","0.052","0.02","0.26","0.15","0.055","0.143333333333333","-0.0883333333333333","-0.350792142330421","0.174125475663754","0.331746446146025","akimat"
"46","0.0022","0.066","0.039","0.058","0.047","0.073","0.0357333333333333","0.0593333333333333","-0.0236","-0.0922236589645029","0.0450236589645029","0.332458967088528","criminal"
"47","0","0.2","0.082","0.03","0.004","0.029","0.094","0.021","0.073","-0.169721001001385","0.315721001001385","0.334989218098119","amnesty"
"48","0.0086","0.051","0.0043","0.016","0.045","0.13","0.0213","0.0636666666666667","-0.0423666666666667","-0.167957835867744","0.0832245025344107","0.345880280019823","soldier"
"49","0.0022","0.0051","0.017","0.007","0.053","0.36","0.0081","0.14","-0.1319","-0.607506950521153","0.343706950521153","0.355981758537487","destruction"
"50","0.013","0.077","0.061","0.035","0.087","0.21","0.0503333333333333","0.110666666666667","-0.0603333333333333","-0.255964024920879","0.135297358254213","0.368108793758809","prosecutor's office"
"51","0.011","0.031","0.035","0.033","0.04","0.3","0.0256666666666667","0.124333333333333","-0.0986666666666667","-0.472957846603054","0.275624513269721","0.378081475350346","terrorism"
"52","0.011","0.036","0.017","0.03","0.018","0.088","0.0213333333333333","0.0453333333333333","-0.024","-0.106313942910421","0.0583139429104212","0.38570328297397","violence"
